Date;Country;AreaCode;Area;TotalCases
08/01/2020;Wales;W11000028;Aneurin Bevan;0
08/01/2020;Wales;W11000023;Betsi Cadwaladr;0
08/01/2020;Wales;W11000029;Cardiff and Vale;0
08/01/2020;Wales;W11000030;Cwm Taf;0
08/01/2020;Wales;W11000025;Hywel Dda;0
08/01/2020;Wales;;Outside Wales;0
08/01/2020;Wales;W11000024;Powys;0
08/01/2020;Wales;W11000031;Swansea Bay;0
08/01/2020;Wales;;Unknown;0
09/01/2020;Wales;W11000028;Aneurin Bevan;0
09/01/2020;Wales;W11000023;Betsi Cadwaladr;0
09/01/2020;Wales;W11000029;Cardiff and Vale;0
09/01/2020;Wales;W11000030;Cwm Taf;0
09/01/2020;Wales;W11000025;Hywel Dda;0
09/01/2020;Wales;;Outside Wales;0
09/01/2020;Wales;W11000024;Powys;0
09/01/2020;Wales;W11000031;Swansea Bay;0
09/01/2020;Wales;;Unknown;0
10/01/2020;Wales;W11000028;Aneurin Bevan;0
10/01/2020;Wales;W11000023;Betsi Cadwaladr;0
10/01/2020;Wales;W11000029;Cardiff and Vale;0
10/01/2020;Wales;W11000030;Cwm Taf;0
10/01/2020;Wales;W11000025;Hywel Dda;0
10/01/2020;Wales;;Outside Wales;0
10/01/2020;Wales;W11000024;Powys;0
10/01/2020;Wales;W11000031;Swansea Bay;0
10/01/2020;Wales;;Unknown;0
11/01/2020;Wales;W11000028;Aneurin Bevan;0
11/01/2020;Wales;W11000023;Betsi Cadwaladr;0
11/01/2020;Wales;W11000029;Cardiff and Vale;0
11/01/2020;Wales;W11000030;Cwm Taf;0
11/01/2020;Wales;W11000025;Hywel Dda;0
11/01/2020;Wales;;Outside Wales;0
11/01/2020;Wales;W11000024;Powys;0
11/01/2020;Wales;W11000031;Swansea Bay;0
11/01/2020;Wales;;Unknown;0
12/01/2020;Wales;W11000028;Aneurin Bevan;0
12/01/2020;Wales;W11000023;Betsi Cadwaladr;0
12/01/2020;Wales;W11000029;Cardiff and Vale;0
12/01/2020;Wales;W11000030;Cwm Taf;0
12/01/2020;Wales;W11000025;Hywel Dda;0
12/01/2020;Wales;;Outside Wales;0
12/01/2020;Wales;W11000024;Powys;0
12/01/2020;Wales;W11000031;Swansea Bay;0
12/01/2020;Wales;;Unknown;0
13/01/2020;Wales;W11000028;Aneurin Bevan;0
13/01/2020;Wales;W11000023;Betsi Cadwaladr;0
13/01/2020;Wales;W11000029;Cardiff and Vale;0
13/01/2020;Wales;W11000030;Cwm Taf;0
13/01/2020;Wales;W11000025;Hywel Dda;0
13/01/2020;Wales;;Outside Wales;0
13/01/2020;Wales;W11000024;Powys;0
13/01/2020;Wales;W11000031;Swansea Bay;0
13/01/2020;Wales;;Unknown;0
14/01/2020;Wales;W11000028;Aneurin Bevan;0
14/01/2020;Wales;W11000023;Betsi Cadwaladr;0
14/01/2020;Wales;W11000029;Cardiff and Vale;0
14/01/2020;Wales;W11000030;Cwm Taf;0
14/01/2020;Wales;W11000025;Hywel Dda;0
14/01/2020;Wales;;Outside Wales;0
14/01/2020;Wales;W11000024;Powys;0
14/01/2020;Wales;W11000031;Swansea Bay;0
14/01/2020;Wales;;Unknown;0
15/01/2020;Wales;W11000028;Aneurin Bevan;0
15/01/2020;Wales;W11000023;Betsi Cadwaladr;0
15/01/2020;Wales;W11000029;Cardiff and Vale;0
15/01/2020;Wales;W11000030;Cwm Taf;0
15/01/2020;Wales;W11000025;Hywel Dda;0
